Ce	LaF3	0.286	-0- 	5d	2F7/2	-0- 	0.05	1.80E-05	-0- 	P	300	5x5x15	KrFL	0.008	10/30/1987	7000
Ce	LiYF4	0.306	0.315	5d	2F5/2	-0- 	1	4.00E-05	-0- 	P	300	5x5x9	KrFL	0.003	10/30/1987	7000
Ce	LiYF4	0.323	0.328	5d	2F7/2	-0- 	1	4.00E-05	-0- 	P	300	5X5X9	KrFL	0.003	10/30/1987	7000
Pr	Ca(NbO3)2	1.04	-0- 	1G4	3H4	-0- 	-0- 	-0- 	-0- 	P	77	3x30	Xe	20	10/30/1987	7002
Pr	CaWO4	1.0468	-0- 	1D2	3F4	6700	0.5	0.023	-0- 	P	77	3x36	Xe	20	10/30/1987	7000
Pr	LaBr3	0.532	-0- 	3P1	3H5	2130	1	0.007	-0- 	P	-0- 	3X36	DyL	-0- 	10/30/1987	7003
Pr	LaBr3	0.621	-0- 	3P0	3H6	4200	1	0.01	-0- 	P	-0- 	3X36	DyL	-0- 	10/30/1987	7003
Pr	LaBr3	0.632	-0- 	3P2	3F3	6300	1	2.00E-05	-0- 	P	-0- 	3X36	DyL	-0- 	10/30/1987	7004
Pr	LaBr3	0.647	-0- 	3P0	3F2	4900	1	0.01	-0- 	P	-0- 	3X36	DyL	-0- 	10/30/1987	7003
Pr	LaCl3	0.4892	-0- 	3P0	3H4	34	1	14.7	-0- 	P	14	0.01	DyL	-0- 	10/30/1987	7005
Pr	LaCl3	0.5298	-0- 	3P1	3H5	2137	1	0.001	-0- 	P	35	0.01	DyL	-0- 	10/30/1987	7000
Pr	LaCl3	0.6164	-0- 	3P0	3H6	4230	1	14.7	-0- 	P	65	0.01	-0- 	1.20E-06	10/30/1987	7006
Pr	LaCl3	0.6452	-0- 	3P0	3F2	4923	-0- 	-0- 	-0- 	P	300	0.01	-0- 	0.001	10/30/1987	7000
Pr	LaF3	0.5985	-0- 	3P0	3H6	4200	1	-0- 	-0- 	P	77	.6x32	Xe	60	10/30/1987	7000
Pr	LiYF4	0.479	-0- 	3P0	3H4	0	0.2	0.05	22	P	300	2x6x8	DyL	0.002	10/30/1987	7000
Pr	SrMoO4	1.04	-0- 	1G4	3H4	-0- 	-0- 	-0- 	-0- 	P	-0- 	-0- 	-0- 	-0- 	10/30/1987	7000
Nd	Ba.75Ca.25Nb2O6	1.062	-0- 	4F3/2	4I11/2	2000	-0- 	-0- 	-0- 	P	295	-0- 	Xe	380	10/30/1987	7000
Nd	BaF2	1.06	-0- 	4F3/2	4I11/2	2000	-0- 	-0- 	-0- 	p	77	3X52	Xe	1600	10/30/1987	7000
Nd	BaF2-CeF3(5%)	1.0543	-0- 	4F3/2	4I11/2	2000	2	0.31	105	P	300	6x15	Xe	28	10/30/1987	7000
